,Abbreviations,Text
0,lol,laughing out loud
1,rofl,laughing
2,brb,be right back
3,ily,i love you
4,ty,thank you
5,imy,i miss you
6,yolo,you only live once
7,fomo,fear of missing out
8,idk,i do not know
9,idc,i do not care
10,ffs,for fuck sake
11,smh,shake my head
12,ngl,not going to lie
14,abt,about
17,gtg,going to go
18,nvm,never mind
19,bcoz,because
20,coz,because
21,bcos,because
22,cld,could
23,ez,easy
24,fbm,fine by me
25,ftw,for the win
26,fyi,for your information
28,wfh,work from home
29,lmfao,laughing my fucking ass off
30,lmk,let me know
31,af,as fuck
32,aight,alright
33,awol,away without leaving
34,irl ,in real life
35,bt,bad trip
36,bb,baby
37,btw,by the way
38,cu,see you
39,idgaf,i don't give a fuck
40,dgaf,don't give a fuck
42,dis,this
43,dm,direct message
44,dnt,don't
45,dw,don't worry
46,enf,enough
47,eta,estimated time of arrival
49,fu,fuck you
50,fwm,fine with me
51,gg,good game
52,gn,good night
53,gm,good morning
54,gr8,great
55,grl,girl
56,grw,get ready with me
57,h8,hate
58,hbd,happy birthday
59,hbu,how about you
60,hru,how are you
61,hw,homework
62,idts,i don't think so
64,ilysm,i love you so much
65,imo,in my opinion
68,ldr,long distance relationship
69,l2g,like to go
70,ly,love you
71,mfw,my face when
72,m8,mate
73,nbd,no big deal
74,nsfw,not safe for work
75,nm,nothing much
76,np,no problem
77,nw,no way
78,og,original gangster
79,ofc,ofcourse
80,omg,oh my god
81,omfg,oh my fucking god
82,ootd,outfit of the day
83,otb,off to bed
84,otw,off to work
85,pm,private message
86,ppl,people
87,prob,probably
88,qt,cutie
89,rly,really
90,sh,same here
91,sis,sister
92,bro,brother
93,sry,sorry
94,sup,what's up
95,tbh,to be honest
96,thnk,thank you
97,thx,thanks
98,ttly,totally
99,ttyl,talk to you later
100,ur,you are
101,wb,welcome back
102,whatevs,whatever
103,wyd,what are you doing
104,wdyk,what do you know
105,wru,where are you
106,wtf,what the fuck
107,wtg,way to go
108,wywh,wish you were here
109,XD,laugh
110,xoxo,hugs and kisses
111,xo,hugs and kisses
113,tryna,trying to be
159,l8,late
160,l8r,later
330,afk,away from keyboard
2362,pov,point of view
